datetimes,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,tcp_force_scalar,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,robot_mode,safety_mode,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5
090320-16:51:32.844,-1.47780114809,-1.88637127499,-1.6910238266,-1.1683524412,1.56382131577,-1.50581676165,0.0157998371869,0.296392142773,-0.405958533287,0.120827153325,-0.000168768194271,0.0296010207385,0.53439450264,5.02321624756,0.592334568501,0.555377483368,-0.000397354597226,0.13279107213,-0.278302272385,-0.541176583552,0.727153999449,-0.0673395997476,-0.00523775577276,0.321568785203,0.948196808851,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8283882141,1.34167671204,47.5849304199,47.7139282227,47.699596405,47.5132637024,47.5275993347,47.5705947876
090320-16:51:32.852,-1.47763330141,-1.88387217144,-1.6944475174,-1.1673553747,1.56382131577,-1.50562411944,0.0169238895178,0.315067708492,-0.430578529835,0.128419578075,-0.000178478803718,0.0319496653974,0.635701477528,5.1639881134,0.384209305048,0.420655727386,0.00557428831235,0.121370650828,-0.683127462633,0.661524160532,0.191459982344,-0.00715554579118,-0.0189843442432,0.349244508425,0.970017664793,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8230133057,1.36852788925,47.5705947876,47.699596405,47.6709289551,47.5849304199,47.5705947876,47.5849304199
090320-16:51:32.860,-1.47751313845,-1.88119330029,-1.69802856445,-1.16636927546,1.56377363205,-1.50531083742,0.0178815666586,0.338117897511,-0.459281265736,0.114366896451,-0.000177299181814,0.0335213914514,0.734530568123,5.02096700668,0.388033092022,0.608659029007,-0.0133053185418,0.0665897428989,-0.243910487536,-1.48456212078,0.514098069005,-0.0647542155926,0.00122469065178,0.324436779046,1.5898785617,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8167457581,1.3461483717,47.6279296875,47.7282600403,47.6422653198,47.5992660522,47.5275993347,47.5419311523
090320-16:51:32.868,-1.47736817995,-1.87844099621,-1.70176410675,-1.16538746775,1.56374931335,-1.50504714647,0.0208204947412,0.357709288597,-0.482344597578,0.118238508701,-0.000166298064869,0.0332257077098,0.795617222786,5.09440135956,0.178156718612,0.761107623577,-0.00052496814169,0.0226839445531,-0.640070409369,-0.293468138265,0.542957940671,-0.0133659486371,-0.000405796865223,0.323016257786,0.889166464991,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8104782104,1.34391248226,47.6565971375,47.7139282227,47.6852607727,47.5132637024,47.55626297,47.5705947876
090320-16:51:32.876,-1.47718698183,-1.87548508267,-1.70569229126,-1.16429408014,1.56378555298,-1.50479633013,0.0250256042928,0.379527777433,-0.51188147068,0.149030521512,-0.000152233245899,0.0321091525257,0.670125186443,5.08568572998,0.25231552124,0.493538439274,0.024099195376,0.00498574925587,-0.875634874935,-0.735922842899,0.448722057125,-0.038980249731,0.000620684313955,0.317439354548,1.22868643252,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.831073761,1.45581030846,47.5992660522,47.7282600403,47.699596405,47.5992660522,47.5849304199,47.5705947876
090320-16:51:32.884,-1.47696954409,-1.87237276653,-1.70982646942,-1.16314061106,1.56377363205,-1.50456935564,0.0275044068694,0.401089459658,-0.542228400707,0.136710062623,-0.00012511627574,0.0297646056861,0.663695573807,4.96024513245,0.319862544537,0.608323872089,0.0175515078008,0.0376730896533,-0.350540397864,-0.66257366134,0.630720793007,-0.021627640176,-0.0227901147739,0.314405760636,0.97963827302,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8033103943,1.42224097252,47.55626297,47.699596405,47.6422653198,47.5419311523,47.5419311523,47.5132637024
090320-16:51:32.892,-1.47671682039,-1.86906590084,-1.71423244476,-1.16195424021,1.56377363205,-1.50431806246,0.0300325211138,0.420378476381,-0.567311406136,0.142796948552,-0.000113932175736,0.0291702859104,0.629275560379,5.11336708069,0.0687662288547,0.684480428696,0.0447954759002,0.0831195339561,0.174901649558,-1.7272151831,1.03784913712,-0.072832178966,-0.0132469965389,0.314583789329,2.02262050498,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8167457581,1.51176440716,47.5705947876,47.6422653198,47.6565971375,47.5275993347,47.5849304199,47.5419311523
090320-16:51:32.900,-1.47648889223,-1.86564173321,-1.71893215179,-1.16074355066,1.56378555298,-1.50410205523,0.0322535075247,0.44037681818,-0.592274487019,0.169094532728,-5.83182190894e-05,0.0295075383037,0.571093559265,5.15631484985,-0.0365192778409,0.43324303627,0.0421756841242,0.137431547046,-0.179211315212,-1.35984890692,0.894967808389,-0.049498807413,-0.00679500049531,0.318832558699,1.63776467272,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8194351196,1.49386191368,47.5705947876,47.6852607727,47.6565971375,47.4559326172,47.5275993347,47.5419311523
090320-16:51:32.908,-1.47623712221,-1.86196484188,-1.72397136688,-1.15940030039,1.56382131577,-1.50388461748,0.0333485901356,0.464406311512,-0.623279631138,0.15366192162,-2.91300184472e-05,0.0325004942715,0.624363422394,5.02381134033,0.259199023247,0.508249104023,0.0365806333721,0.171501412988,-0.162225537712,-1.6810674308,1.03757671362,-0.0959909264599,-0.024127657269,0.325998578872,1.98213780264,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8042068481,1.48042571545,47.5705947876,47.6565971375,47.6709289551,47.5992660522,47.5275993347,47.5849304199
090320-16:51:32.916,-1.47593576113,-1.85814442257,-1.72914981842,-1.158291654,1.56380939484,-1.503596131,0.0349651388824,0.48112025857,-0.650134682655,0.148057177663,-2.30922178162e-05,0.0339524447918,0.604484558105,5.16136646271,0.247449323535,0.747909784317,0.0497163273394,0.227449029684,-0.383518397198,0.176262696909,0.549951670069,-0.0114203237502,-0.0340473429525,0.316885435473,0.693254454528,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.779132843,1.52519011497,47.5849304199,47.6422653198,47.6135978699,47.4559326172,47.4846000671,47.5132637024
090320-16:51:32.924,-1.47567254702,-1.85417999844,-1.73446178436,-1.15691311777,1.56382131577,-1.50331956545,0.0364648140967,0.501730382442,-0.673932373524,0.175177395344,-2.75303659691e-06,0.0356609597802,0.676147580147,5.20335531235,0.21225091815,0.521414279938,0.0436965487897,0.258173465729,-0.126901678089,-0.535132369501,0.201236550044,0.000731261487271,-0.0103346886541,0.311882751172,0.585633706222,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.7782325745,1.6012827158,47.5705947876,47.5849304199,47.5419311523,47.4989318848,47.4559326172,47.4846000671
090320-16:51:32.932,-1.47539598147,-1.85008682827,-1.73991680145,-1.15556796015,1.56377363205,-1.5030058066,0.0388136431575,0.521743178368,-0.699231564999,0.161455437541,-5.00350837151e-11,0.039017546922,0.616547226906,5.30796575546,0.0936596095562,0.752053380013,0.0970525145531,0.288302719593,-0.863703181766,-1.16906351905,0.291557982738,-0.0467279369748,0.0070260587113,0.319979565958,1.48246374494,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.795249939,1.6326161623,47.5849304199,47.6565971375,47.5705947876,47.4846000671,47.4846000671,47.5132637024
